Date,HE,MW
1/12/23,23,7316.181054
1/12/23,24,7032.358872
1/13/23,1,6202.061409
1/13/23,2,5892.966433
1/13/23,3,7269.611092
1/13/23,4,7469.149306
1/13/23,5,7775.938678
1/13/23,6,8496.142344
1/13/23,7,6409.078616
1/13/23,8,7737.487284
1/13/23,9,7351.608094
1/13/23,10,7638.207033
1/13/23,11,6180.820387
1/13/23,12,5724.351232
1/13/23,13,6000.008067
1/13/23,14,4985.810771
1/13/23,15,7009.616554
1/13/23,16,5891.031867
1/13/23,17,4975.706204
1/13/23,18,5358.586582
1/13/23,19,3868.002919
1/13/23,20,3855.002266
1/13/23,21,4322.602226
1/13/23,22,2447.305625
1/13/23,23,3716.867573
1/13/23,24,2495.180365
1/14/23,1,1545.267047
1/14/23,2,1951.512378
1/14/23,3,2062.195157
1/14/23,4,1274.462774
1/14/23,5,1547.297326
1/14/23,6,1430.832499
1/14/23,7,1810.280098
1/14/23,8,2096.607311
1/14/23,9,1149.935811
1/14/23,10,654.2113325
1/14/23,11,653.9862474
1/14/23,12,843.1618649
1/14/23,13,2318.816781
1/14/23,14,1176.632292
1/14/23,15,1819.423648
1/14/23,16,1361.063067
1/14/23,17,2201.600085
1/14/23,18,3297.24399
1/14/23,19,2575.946087
1/14/23,20,3151.607321
1/14/23,21,5380.531356
1/14/23,22,2845.469747
1/14/23,23,2385.066328
1/14/23,24,5163.061937
1/15/23,1,4999.736057
1/15/23,2,5170.718519
1/15/23,3,4418.127515
1/15/23,4,4403.18924
1/15/23,5,5266.570911
1/15/23,6,5944.475868
1/15/23,7,5485.682408
1/15/23,8,4816.762574
1/15/23,9,6546.357413
1/15/23,10,6394.425583
1/15/23,11,5173.899196
1/15/23,12,6815.630721
1/15/23,14,6152.036292
1/15/23,15,5747.640457
1/15/23,16,5445.92555
1/15/23,17,7608.719953
1/15/23,18,5097.716547
1/15/23,19,5830.100275
1/15/23,20,8555.513251
1/15/23,21,6690.013871
1/15/23,22,8643.150028
1/15/23,23,6557.901694
1/15/23,24,6848.349308
1/16/23,1,5833.803731
1/16/23,2,5767.941397
1/16/23,3,6014.430414
1/16/23,4,5967.481078
1/16/23,5,5741.355575
1/16/23,6,5976.357916
1/16/23,7,4399.097524
1/16/23,8,6601.615007
1/16/23,9,7400.782019
1/16/23,10,7743.775681
1/16/23,11,7635.093517
1/16/23,12,7613.345375
1/16/23,13,5801.146727
1/16/23,14,7632.855967
1/16/23,15,7180.71121
1/16/23,16,8367.980994
1/16/23,17,6937.152096
1/16/23,18,7515.862705
1/16/23,19,6724.268808
1/16/23,20,6406.866713
1/16/23,21,8429.238578
1/16/23,22,7724.438001
1/16/23,23,6866.468045
1/16/23,24,7647.445908
1/17/23,1,6452.049906
1/17/23,2,7963.196143
1/17/23,3,7075.586707
1/17/23,4,6641.469101
1/17/23,5,6576.530158
1/17/23,6,6642.986604
1/17/23,7,6504.857524
1/17/23,8,7114.553379
1/17/23,9,6219.242408
1/17/23,10,7230.631774
1/17/23,11,6322.898569
1/17/23,12,7865.341096
1/17/23,13,9182.44639
1/17/23,14,6695.880802
1/17/23,15,8385.074275
1/17/23,16,8341.572782
1/17/23,17,7691.656249
1/17/23,18,7213.121355
1/17/23,19,7284.211205
1/17/23,20,6517.079788
1/17/23,21,7282.133094
1/17/23,22,7217.649075
1/17/23,23,5962.842292
1/17/23,24,4968.23431
1/18/23,1,6155.50203
1/18/23,2,5725.940174
1/18/23,3,3929.076492
1/18/23,4,3715.341845
1/18/23,5,1809.701773
1/18/23,6,1628.747474
1/18/23,7,1725.446313
1/18/23,8,2768.798884
1/18/23,9,1833.460948
